Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,No of Seasons,combinaiton
breaking bad,2008,18+,9.5,100,"Crime,Drama",5,"breaking bad 2008 18+ 9.5 100 Crime,Drama 5"
game of thrones,2011,18+,9.3,99,"Action & Adventure,Drama",8,"game of thrones 2011 18+ 9.3 99 Action & Adventure,Drama 8"
rick and morty,2013,18+,9.2,97,"Animation,Comedy",4,"rick and morty 2013 18+ 9.2 97 Animation,Comedy 4"
stranger things,2016,16+,8.8,96,"Drama,Fantasy",3,"stranger things 2016 16+ 8.8 96 Drama,Fantasy 3"
the boys,2019,18+,8.7,95,"Action & Adventure,Comedy",2,"the boys 2019 18+ 8.7 95 Action & Adventure,Comedy 2"
dark,2017,16+,8.8,95,"Crime,Drama",3,"dark 2017 16+ 8.8 95 Crime,Drama 3"
chernobyl,2019,18+,9.4,95,"Drama,History",1,"chernobyl 2019 18+ 9.4 95 Drama,History 1"
sherlock,2010,16+,9.1,94,"Action & Adventure,Crime",4,"sherlock 2010 16+ 9.1 94 Action & Adventure,Crime 4"
fargo,2014,18+,8.9,94,"Crime,Drama",3,"fargo 2014 18+ 8.9 94 Crime,Drama 3"
avatar: the last airbender,2005,7+,9.2,94,"Action & Adventure,Animation",3,"avatar: the last airbender 2005 7+ 9.2 94 Action & Adventure,Animation 3"
friends,1994,16+,8.9,94,"Comedy,Romance",10,"friends 1994 16+ 8.9 94 Comedy,Romance 10"
the office,2005,16+,8.9,93,"Comedy,2005",9,"the office 2005 16+ 8.9 93 Comedy,2005 9"
supernatural,2005,16+,8.4,93,"Drama,Fantasy",15 ,"supernatural 2005 16+ 8.4 93 Drama,Fantasy 15 "
the wire,2002,18+,9.3,93,"Crime,Drama",5,"the wire 2002 18+ 9.3 93 Crime,Drama 5"
better call saul,2015,18+,8.7,92,"Comedy,Crime",5,"better call saul 2015 18+ 8.7 92 Comedy,Crime 5"
attack on titan,2013,18+,8.8,92,"Action & Adventure,Anime",3,"attack on titan 2013 18+ 8.8 92 Action & Adventure,Anime 3"
black mirror,2011,18+,8.8,92,"Drama,Science-Fiction",5,"black mirror 2011 18+ 8.8 92 Drama,Science-Fiction 5"
band of brothers,2001,18+,9.4,92,"Action & Adventure,Drama",1 ,"band of brothers 2001 18+ 9.4 92 Action & Adventure,Drama 1 "
house,2004,16+,8.7,92,"Drama,Mystery",8,"house 2004 16+ 8.7 92 Drama,Mystery 8"
lucifer,2016,16+,8.2,92,"Fantasy,Crime",5,"lucifer 2016 16+ 8.2 92 Fantasy,Crime 5"
money heist,2017,18+,8.4,92,"Thriller,Action & Adventure",2,"money heist 2017 18+ 8.4 92 Thriller,Action & Adventure 2"
mr. robot,2015,18+,8.5,92,"Drama,Thriller",4,"mr. robot 2015 18+ 8.5 92 Drama,Thriller 4"
peaky blinders,2013,18+,8.8,92,"Crime,Drama",5 ,"peaky blinders 2013 18+ 8.8 92 Crime,Drama 5 "
cobra kai,2018,16+,8.8,91,"Action & Adventure,Drama",2,"cobra kai 2018 16+ 8.8 91 Action & Adventure,Drama 2"
the simpsons,1989,7+,8.7,91,"Animation,Comedy",31 ,"the simpsons 1989 7+ 8.7 91 Animation,Comedy 31 "
the mandalorian,2019,16+,8.7,91,"Action & Adventure,Science-Fiction",1,"the mandalorian 2019 16+ 8.7 91 Action & Adventure,Science-Fiction 1"
the sopranos,1999,18+,9.2,91,"Crime,Drama",6,"the sopranos 1999 18+ 9.2 91 Crime,Drama 6"
the umbrella academy,2019,18+,8.0,91,"Action & Adventure,Comedy",2,"the umbrella academy 2019 18+ 8.0 91 Action & Adventure,Comedy 2"
vikings,2013,18+,8.5,91,"Action & Adventure,Drama",6,"vikings 2013 18+ 8.5 91 Action & Adventure,Drama 6"
the walking dead,2010,18+,8.2,91,"Drama,Horror",10,"the walking dead 2010 18+ 8.2 91 Drama,Horror 10"
lost,2004,16+,8.3,91,"Action & Adventure,Drama",6 ,"lost 2004 16+ 8.3 91 Action & Adventure,Drama 6 "
brooklyn nine-nine,2013,16+,8.4,91,"Comedy,Crime",7 ,"brooklyn nine-nine 2013 16+ 8.4 91 Comedy,Crime 7 "
sex education,2019,16+,8.3,91,"Comedy,LGBTQ",2,"sex education 2019 16+ 8.3 91 Comedy,LGBTQ 2"
mindhunter,2017,18+,8.6,91,"Crime,Drama",2,"mindhunter 2017 18+ 8.6 91 Crime,Drama 2"
dexter,2006,18+,8.6,91,"Crime,Drama",8,"dexter 2006 18+ 8.6 91 Crime,Drama 8"
narcos,2015,18+,8.8,91,"Crime,Drama",3,"narcos 2015 18+ 8.8 91 Crime,Drama 3"
westworld,2016,18+,8.7,91,"Drama,Science-Fiction",3,"westworld 2016 18+ 8.7 91 Drama,Science-Fiction 3"
true detective,2014,18+,9.0,91,"Crime,Drama",3,"true detective 2014 18+ 9.0 91 Crime,Drama 3"
south park,1997,18+,8.7,90,"Animation,Comedy",23 ,"south park 1997 18+ 8.7 90 Animation,Comedy 23 "
parks and recreation,2009,16+,8.6,90,"Comedy,2009",7,"parks and recreation 2009 16+ 8.6 90 Comedy,2009 7"
mad men,2007,16+,8.6,90,"Drama,2007",7,"mad men 2007 16+ 8.6 90 Drama,2007 7"
marvel's daredevil,2015,18+,8.6,90,"Action & Adventure,Crime",3,"marvel's daredevil 2015 18+ 8.6 90 Action & Adventure,Crime 3"
firefly,2002,16+,9.0,90,"Drama,Science-Fiction",1,"firefly 2002 16+ 9.0 90 Drama,Science-Fiction 1"
fringe,2008,16+,8.4,90,"Crime,Drama",5 ,"fringe 2008 16+ 8.4 90 Crime,Drama 5 "
shameless,2011,18+,8.6,90,"Comedy,Drama",10 ,"shameless 2011 18+ 8.6 90 Comedy,Drama 10 "
the big bang theory,2007,16+,8.1,90,"Comedy,Romance",12,"the big bang theory 2007 16+ 8.1 90 Comedy,Romance 12"
modern family,2009,16+,8.4,90,"Comedy,Drama",11 ,"modern family 2009 16+ 8.4 90 Comedy,Drama 11 "
suits,2011,16+,8.5,90,"Drama,Comedy",9,"suits 2011 16+ 8.5 90 Drama,Comedy 9"
the last dance,2020,16+,9.2,90,"Documentary,Biography",1,"the last dance 2020 16+ 9.2 90 Documentary,Biography 1"
community,2009,7+,8.5,90,"Comedy,2009",6,"community 2009 7+ 8.5 90 Comedy,2009 6"
it's always sunny in philadelphia,2005,18+,8.8,90,"Comedy,2005",14,"it's always sunny in philadelphia 2005 18+ 8.8 90 Comedy,2005 14"
twin peaks,1990,18+,8.8,90,"Drama,Horror",3 ,"twin peaks 1990 18+ 8.8 90 Drama,Horror 3 "
hannibal,2013,18+,8.5,90,"Crime,Drama",3,"hannibal 2013 18+ 8.5 90 Crime,Drama 3"
ozark,2017,18+,8.4,90,"Crime,Drama",3,"ozark 2017 18+ 8.4 90 Crime,Drama 3"
seinfeld,1989,7+,8.8,90,"Comedy,Stand-up & Talk",9,"seinfeld 1989 7+ 8.8 90 Comedy,Stand-up & Talk 9"
the haunting,2018,18+,8.7,89,"Horror,Drama",1,"the haunting 2018 18+ 8.7 89 Horror,Drama 1"
fullmetal alchemist: brotherhood,2009,18+,9.1,89,"Action & Adventure,Anime",1,"fullmetal alchemist: brotherhood 2009 18+ 9.1 89 Action & Adventure,Anime 1"
the witcher,2019,18+,8.2,89,"Drama,Action & Adventure",1,"the witcher 2019 18+ 8.2 89 Drama,Action & Adventure 1"
the fall,2013,18+,8.2,89,"Drama,Thriller",3,"the fall 2013 18+ 8.2 89 Drama,Thriller 3"
homeland,2011,18+,8.3,89,"Crime,Drama",8,"homeland 2011 18+ 8.3 89 Crime,Drama 8"
the 100,2014,16+,7.7,89,"Drama,Science-Fiction",7 ,"the 100 2014 16+ 7.7 89 Drama,Science-Fiction 7 "
how i met your mother,2005,16+,8.3,89,"Comedy,Romance",9,"how i met your mother 2005 16+ 8.3 89 Comedy,Romance 9"
the good place,2016,16+,8.2,89,"Comedy,Drama",4,"the good place 2016 16+ 8.2 89 Comedy,Drama 4"
the expanse,2015,16+,8.5,89,"Drama,Action & Adventure",4 ,"the expanse 2015 16+ 8.5 89 Drama,Action & Adventure 4 "
grey's anatomy,2005,16+,7.6,89,"Drama,Romance",16 ,"grey's anatomy 2005 16+ 7.6 89 Drama,Romance 16 "
